Höhe,Breite,Fläche_m2,Baumwolle_preis,Leinen_preis,Support,
20,20,400,33.75,41.04,no_support,
20,80,1600,62.76,75.12,no_support,
30,30,900,36,42.72,no_support,
30,40,1200,42.6,52.08,no_support,
40,40,1600,47.52,57.84,no_support,
40,50,2000,56.16,68.52,no_support,
40,60,2400,63.7,77.88,no_support,
40,100,4000,105.6,129.36,single_support,
50,50,2500,63.72,77.88,no_support,
50,60,3000,64.92,79.32,no_support,
50,70,3500,76.56,93.36,no_support,
50,150,7500,166.56,203.04,single_support,
60,60,3600,76.56,93.36,no_support,
60,80,4800,95.16,115.8,no_support,
60,120,7200,144.36,175.92,single_support,
70,70,4900,96.24,117,no_support,
70,80,5600,106.92,130.56,single_support,
70,100,7000,138.96,169.44,single_support,
80,80,6400,110.04,134.07,single_support,
80,100,8000,144.36,175.92,single_support,
90,90,8100,144.36,175.92,single_support,
100,100,10000,166.56,203.04,single_support,
100,120,12000,175.92,214.8,single_support,
28,20,560,41.6,,no_support,
30,20,600,43.1,,no_support,
40,20,800,46.95,,no_support,
60,20,1200,60.05,69.7,no_support,
50,30,1500,60.05,69.7,no_support,
83,20,1660,,88,single_support ,
60,30,1800,66.2,,no_support,
80,30,2400,,95,single_support ,
90,30,2700,,101.8,single_support ,
60,45,2700,78.45,107.8,no_support,
70,40,2800,76.85,,no_support,
150,20,3000,132.1,157.4,single_support ,
120,25,3000,,175.8,single_support ,
100,30,3000,133.45,,single_support ,
80,40,3200,,106.1,single_support ,
100,35,3500,124.6,158.4,single_support ,
120,30,3600,146.7,170.2,single_support ,
130,30,3900,149.4,,single_support ,
80,50,4000,86.7,,single_support ,
70,60,4200,104.75,119.4,no_support,
110,40,4400,,188.4,single_support ,
120,40,4800,148.95,198.2,single_support ,
100,50,5000,134.2,183.5,single_support ,
170,30,5100,192.65,,single_support ,
85,60,5100,115.8,134.6,single_support ,
180,30,5400,199.15,228.8,single_support ,
90,60,5400,,139.2,single_support ,
160,35,5600,192.2,,single_support ,
140,40,5600,152.15,208.2,single_support ,
75,75,5625,,134.6,single_support ,
90,65,5850,,154.3,single_support ,
