length,width,size,price_baumwolle,price_Leinen,supporttype,
300,15,4500,310.8,,double_support_paralell,
300,20,6000,347.3,,double_support_paralell,
250,30,7500,263.9,,double_support_paralell,
300,30,9000,451.1,,double_support_paralell,
180,50,9000,196.8,342.2,single_support ,
200,55,11000, ,379.4,single_support ,
100,80,8000,205.5,,double_support_cross,
200,80,16000,336.3,409.5,double_support_cross,
220,80,17600,355.0,454,triple_support,
120,95,11400,267.0,,double_support_cross,
100,100,10000,243.0,,double_support_cross,
150,100,15000,255.1,,double_support_cross,
160,100,16000,318.0,,double_support_cross,
200,100,20000,372.9,415,double_support_cross,
180,110,19800,363.0,,double_support_cross,
220,110,24200,403.8,,triple_support,
301,110,33110,588.4,768,triple_support,
120,120,14400,300.6,,double_support_cross,
160,120,19200, ,427.9,double_support_cross,
200,120,24000,383.8,552.4,double_support_cross,
243,120,29160,495.7,,triple_support,
185,120,22200, ,447.1,double_support_cross,
,,,,,,
170,130,22100,368.7,,double_support_cross,
190,130,24700,369.0,,double_support_cross,
200,130,26000,371.8,,double_support_cross,
180,140,25200,391.8,476.9,double_support_cross,
200,140,28000,407.8,516,double_support_cross,
250,140,35000,499.3,,triple_support,
300,140,42000,480.0,,triple_support,
150,150,22500,368.7,465.6,double_support_cross,
160,150,24000,377.0,466.3,double_support_cross,
185,150,27750, ,505,double_support_cross,
200,150,30000,487.7,,double_support_cross,
500,150,75000,805.7,,triple_support,
160,160,25600,384.7,479.9,double_support_cross,
190,160,30400, ,533.4,double_support_cross,
220,160,35200,508.5,,triple_support,
230,160,36800,560.1,,triple_support,
240,160,38400,588.4,798.8,triple_support,
380,160,60800,667.8,,triple_support,
200,160,32000,446.1,,double_support_cross,
210,165,34650,508.5,,triple_support,
170,170,28900,407.8,,double_support_cross,
230,170,39100,588.4,,triple_support,
175,175,30625,419.1,,double_support_cross,
240,175,42000,572.4,,triple_support,
180,140,25200, ,476.9,double_support_cross,
180,180,32400,446.1,554,double_support_cross,
200,180,36000,498.6,609.3,double_support_cross,
220,180,39600,508.2,,triple_support,
360,180,64800,719.6,856.2,triple_support,
200,200,40000,566.0,,double_support_cross,
300,200,60000,673.9,,triple_support,
350,250,87500,805.0,,quad_support,
320,300,96000,817.7,,quad_support,
300,300,90000,1052.5,,quad_support,
